,Unnamed: 0,count(time),time
0,0,214,10:00:00 AM
1,1,149,10:00:00 PM
2,2,119,10:01:00 AM
3,3,153,10:01:00 PM
4,4,101,10:02:00 AM
5,5,132,10:02:00 PM
6,6,111,10:03:00 AM
7,7,151,10:03:00 PM
8,8,116,10:04:00 AM
9,9,136,10:04:00 PM
10,10,111,10:05:00 AM
11,11,120,10:05:00 PM
12,12,121,10:06:00 AM
13,13,139,10:06:00 PM
14,14,99,10:07:00 AM
15,15,127,10:07:00 PM
16,16,113,10:08:00 AM
17,17,152,10:08:00 PM
18,18,108,10:09:00 AM
19,19,152,10:09:00 PM
20,20,114,10:10:00 AM
21,21,127,10:10:00 PM
22,22,112,10:11:00 AM
23,23,142,10:11:00 PM
24,24,100,10:12:00 AM
25,25,158,10:12:00 PM
26,26,102,10:13:00 AM
27,27,144,10:13:00 PM
28,28,89,10:14:00 AM
29,29,135,10:14:00 PM
30,30,173,10:15:00 AM
31,31,103,10:15:00 PM
32,32,113,10:16:00 AM
33,33,135,10:16:00 PM
34,34,110,10:17:00 AM
35,35,134,10:17:00 PM
36,36,77,10:18:00 AM
37,37,119,10:18:00 PM
38,38,77,10:19:00 AM
39,39,129,10:19:00 PM
40,40,94,10:20:00 AM
41,41,133,10:20:00 PM
42,42,110,10:21:00 AM
43,43,144,10:21:00 PM
44,44,112,10:22:00 AM
45,45,121,10:22:00 PM
46,46,104,10:23:00 AM
47,47,112,10:23:00 PM
48,48,101,10:24:00 AM
49,49,138,10:24:00 PM
50,50,99,10:25:00 AM
51,51,131,10:25:00 PM
52,52,117,10:26:00 AM
53,53,118,10:26:00 PM
54,54,91,10:27:00 AM
55,55,133,10:27:00 PM
56,56,104,10:28:00 AM
57,57,129,10:28:00 PM
58,58,115,10:29:00 AM
59,59,163,10:29:00 PM
60,60,150,10:30:00 AM
61,61,119,10:30:00 PM
62,62,107,10:31:00 AM
63,63,158,10:31:00 PM
64,64,1,10:31:28 AM
65,65,106,10:32:00 AM
66,66,134,10:32:00 PM
67,67,80,10:33:00 AM
68,68,128,10:33:00 PM
69,69,96,10:34:00 AM
70,70,140,10:34:00 PM
71,71,1,10:34:47 PM
72,72,103,10:35:00 AM
73,73,134,10:35:00 PM
74,74,81,10:36:00 AM
75,75,136,10:36:00 PM
76,76,104,10:37:00 AM
77,77,152,10:37:00 PM
78,78,103,10:38:00 AM
79,79,113,10:38:00 PM
80,80,91,10:39:00 AM
81,81,130,10:39:00 PM
82,82,91,10:40:00 AM
83,83,144,10:40:00 PM
84,84,101,10:41:00 AM
85,85,133,10:41:00 PM
86,86,109,10:42:00 AM
87,87,128,10:42:00 PM
88,88,106,10:43:00 AM
89,89,139,10:43:00 PM
90,90,101,10:44:00 AM
91,91,153,10:44:00 PM
92,92,175,10:45:00 AM
93,93,152,10:45:00 PM
94,94,106,10:46:00 AM
95,95,131,10:46:00 PM
96,96,100,10:47:00 AM
97,97,132,10:47:00 PM
98,98,92,10:48:00 AM
99,99,151,10:48:00 PM
100,100,97,10:49:00 AM
101,101,114,10:49:00 PM
102,102,85,10:50:00 AM
103,103,128,10:50:00 PM
104,104,98,10:51:00 AM
105,105,124,10:51:00 PM
106,106,108,10:52:00 AM
107,107,131,10:52:00 PM
108,108,101,10:53:00 AM
109,109,125,10:53:00 PM
110,110,105,10:54:00 AM
111,111,116,10:54:00 PM
112,112,112,10:55:00 AM
113,113,146,10:55:00 PM
114,114,88,10:56:00 AM
115,115,135,10:56:00 PM
116,116,101,10:57:00 AM
117,117,138,10:57:00 PM
118,118,100,10:58:00 AM
119,119,129,10:58:00 PM
120,120,89,10:59:00 AM
121,121,139,10:59:00 PM
122,122,154,11:00:00 AM
123,123,147,11:00:00 PM
124,124,106,11:01:00 AM
125,125,168,11:01:00 PM
126,126,107,11:02:00 AM
127,127,159,11:02:00 PM
128,128,83,11:03:00 AM
129,129,152,11:03:00 PM
130,130,1,11:03:50 PM
131,131,96,11:04:00 AM
132,132,162,11:04:00 PM
133,133,87,11:05:00 AM
134,134,154,11:05:00 PM
135,135,101,11:06:00 AM
136,136,162,11:06:00 PM
137,137,1,11:06:49 PM
138,138,103,11:07:00 AM
139,139,151,11:07:00 PM
140,140,93,11:08:00 AM
141,141,155,11:08:00 PM
142,142,98,11:09:00 AM
143,143,151,11:09:00 PM
144,144,94,11:10:00 AM
145,145,151,11:10:00 PM
146,146,95,11:11:00 AM
147,147,126,11:11:00 PM
148,148,1,11:11:38 AM
149,149,73,11:12:00 AM
150,150,156,11:12:00 PM
151,151,100,11:13:00 AM
152,152,146,11:13:00 PM
153,153,88,11:14:00 AM
154,154,143,11:14:00 PM
155,155,112,11:15:00 AM
156,156,152,11:15:00 PM
157,157,1,11:15:44 PM
158,158,92,11:16:00 AM
159,159,126,11:16:00 PM
160,160,90,11:17:00 AM
161,161,119,11:17:00 PM
162,162,93,11:18:00 AM
163,163,146,11:18:00 PM
164,164,95,11:19:00 AM
165,165,137,11:19:00 PM
166,166,87,11:20:00 AM
167,167,145,11:20:00 PM
168,168,83,11:21:00 AM
169,169,140,11:21:00 PM
170,170,79,11:22:00 AM
171,171,139,11:22:00 PM
172,172,91,11:23:00 AM
173,173,141,11:23:00 PM
174,174,85,11:24:00 AM
175,175,137,11:24:00 PM
176,176,97,11:25:00 AM
177,177,119,11:25:00 PM
178,178,88,11:26:00 AM
179,179,126,11:26:00 PM
180,180,90,11:27:00 AM
181,181,127,11:27:00 PM
182,182,109,11:28:00 AM
183,183,137,11:28:00 PM
184,184,92,11:29:00 AM
185,185,126,11:29:00 PM
186,186,120,11:30:00 AM
187,187,125,11:30:00 PM
188,188,109,11:31:00 AM
189,189,142,11:31:00 PM
190,190,96,11:32:00 AM
191,191,135,11:32:00 PM
192,192,1,11:32:57 PM
193,193,73,11:33:00 AM
194,194,115,11:33:00 PM
195,195,97,11:34:00 AM
196,196,139,11:34:00 PM
197,197,1,11:34:47 PM
198,198,105,11:35:00 AM
199,199,148,11:35:00 PM
200,200,100,11:36:00 AM
201,201,127,11:36:00 PM
202,202,111,11:37:00 AM
203,203,132,11:37:00 PM
204,204,1,11:37:31 AM
205,205,106,11:38:00 AM
206,206,144,11:38:00 PM
207,207,88,11:39:00 AM
208,208,140,11:39:00 PM
209,209,91,11:40:00 AM
210,210,114,11:40:00 PM
211,211,91,11:41:00 AM
212,212,122,11:41:00 PM
213,213,106,11:42:00 AM
214,214,142,11:42:00 PM
215,215,89,11:43:00 AM
216,216,117,11:43:00 PM
217,217,100,11:44:00 AM
218,218,149,11:44:00 PM
219,219,198,11:45:00 AM
220,220,98,11:45:00 PM
221,221,88,11:46:00 AM
222,222,153,11:46:00 PM
223,223,82,11:47:00 AM
224,224,132,11:47:00 PM
225,225,101,11:48:00 AM
226,226,117,11:48:00 PM
